Ticker,PE Ratio (TTM),PE Ratio (Current),Market Cap (log),Beta,Dividend Yield,EPS Growth (ROE x Retention),Cluster,Sector
MMM,33.5684,30.65703275529865,25.232667686608504,1.081,1.96,0.3056258659999999,5,Industrials
ABNB,35.63614,35.87623762376238,25.171160987922065,1.143,0.0,0.32325,5,Consumer Discretionary
ALLE,18.905449,18.870218579234972,23.199172362851577,0.858,1.53,0.244653296316,5,Industrials
GOOGL,26.679098,26.889992360580596,29.08064168731405,1.247,0.25,0.3639246869229999,5,Communication Services
GOOG,26.594204,26.801678108314267,29.07898120109312,1.247,0.25,0.3639246869229999,5,Communication Services
AMZN,29.67904,29.938922155688623,28.611535447549738,1.461,0.0,0.24285,5,Consumer Discretionary
AXP,21.865084,21.98188632104934,26.19912331644978,1.045,1.08,0.2709119455581,5,Financials
APH,44.75575,43.25,25.978722823544143,1.243,0.66,0.280422375,5,Information Technology
AON,19.545855,19.92202086765513,25.054241808847944,0.705,0.9,0.3884827033553,5,Financials
AMAT,53.334743,49.500941619585696,26.831869929088423,1.567,0.4,0.3282131728069999,5,Information Technology
CDNS,79.41259,76.9067599067599,25.266188129765727,1.148,0.0,0.20656,5,Information Technology
CAT,44.22095,43.107231920199496,26.73545090713179,1.565,0.75,0.361472902,5,Industrials
CDW,15.74665,15.835566382460412,23.527593383452025,0.962,1.94,0.3065820509999999,5,Information Technology
CHTR,3.5047336,3.493643494725453,23.733926938146105,0.704,0.0,0.27504998,5,Communication Services
CMG,30.600916,30.394495412844037,24.47946723089155,0.964,0.0,0.49231997,5,Consumer Discretionary
CTAS,40.744896,41.18367346938776,25.10390839743136,0.933,0.89,0.2578824886679999,5,Industrials
CPAY,21.847214,22.125823846614736,23.89433357192433,0.881,0.0,0.32124,5,Financials
COST,46.822582,47.167338709677416,26.74422625802473,0.872,0.63,0.212780448,5,Consumer Staples
DECK,14.662394,14.820512820512825,23.38317688496548,1.167,0.0,0.40859002,5,Consumer Discretionary
DXCM,32.182404,32.48497854077253,24.088306944887503,1.453,0.0,0.35624,5,Health Care
DLTR,20.279293,20.285714285714285,23.91289149469235,0.651,0.0,0.33976,5,Consumer Staples
EBAY,26.135105,26.371824480369515,24.64018203643004,1.365,1.09,0.311915625,5,Consumer Discretionary
EME,25.402554,25.001008064516128,24.239746259584475,1.126,0.22,0.37714760678458,5,Industrials
EXPD,28.886105,28.65428109854604,23.87540800369648,1.038,0.91,0.275247192,5,Industrials
FFIV,33.76702,33.79163248564397,23.868421485178487,1.03,0.0,0.2034,5,Information Technology
GE,40.459812,40.342789598108745,26.595798426239643,1.348,0.55,0.387881727916,5,Industrials
GEN,16.7707,16.99044585987261,23.487197418042655,1.207,1.87,0.2717617345549999,5,Information Technology
HD,23.394806,23.636621717530165,26.518357690136675,0.951,2.8,0.44226903581,5,Consumer Discretionary
HWM,64.35697,63.25116279069768,25.430304140960896,1.189,0.18,0.302096194,5,Industrials
ITW,25.354088,25.25,25.08620441468589,1.011,2.37,0.399304304,5,Industrials
INCY,16.63418,16.334745762711865,23.88147163992761,0.758,0.0,0.30823,5,Health Care
PODD,38.219624,39.10514018691589,23.150747737194965,1.111,0.0,0.22997999,5,Health Care
IQV,25.031677,25.32919254658385,24.238719595381507,1.2,0.0,0.22490999,5,Health Care
LULU,9.335761,9.439320388349516,23.29610607657724,0.878,0.0,0.32027,5,Consumer Discretionary
META,23.551981,23.476917484551073,28.128568418912373,1.246,0.33,0.304141498472,5,Communication Services
MSFT,23.823301,23.974374255065555,28.719432931143103,1.13,0.9,0.2696289734743999,5,Information Technology
NVR,15.679745,15.748119015047878,23.575464769653987,0.902,0.0,0.33257,5,Consumer Discretionary
PYPL,10.492496,10.660412757973733,24.621833703905015,1.332,0.99,0.23801201895,5,Financials
PTC,11.776176,11.99135446685879,23.373676656232707,0.994,0.0,0.344,5,Information Technology
RL,25.460926,24.93245033112583,23.853601235814224,1.352,0.99,0.2628917946344002,5,Consumer Discretionary
ROST,32.80265,32.88423988842399,25.046684439120146,0.879,0.75,0.299459708636,5,Consumer Discretionary
SHW,30.86852,31.05566218809981,25.09688655266887,1.1,0.99,0.422328465,5,Materials
SOLV,9.675643,9.700122399020808,23.3398921591846,0.716,0.0,0.34794998,5,Health Care
TPR,43.238533,43.1559633027523,24.07552166506034,1.444,1.13,0.3212604692788007,5,Consumer Discretionary
TRGP,28.716328,28.81122448979592,24.82433924879683,0.704,1.77,0.4382155542579999,5,Energy
TJX,29.823132,30.29182879377432,25.855181006262857,0.623,1.23,0.40994625,5,Consumer Discretionary
TT,35.767353,35.710144927536234,25.364335080261423,1.195,0.9,0.258021734088,5,Industrials
UBER,17.843697,17.908188585607938,25.70947269330438,1.113,0.0,0.3531,5,Industrials
ULTA,18.407864,18.28014981273408,23.77390366322002,0.879,0.0,0.47449002,5,Consumer Discretionary
UAL,11.049157,11.00374531835206,24.36873787722203,1.258,0.0,0.23252001,5,Industrials
