Ticker,PE Ratio (TTM),PE Ratio (Current),Market Cap (log),Beta,Dividend Yield,EPS Growth (ROE x Retention),Cluster,Sector
MMM,31.343931,31.448940269749517,25.164103131838022,1.095,1.91,0.3056258659999999,5,Industrials
ABNB,34.44074,34.3679012345679,25.139513136107396,1.159,0.0,0.32325,5,Consumer Discretionary
GOOGL,26.412663,26.66376811594203,29.07213145926789,1.237,0.25,0.3639246869229999,5,Communication Services
GOOG,26.373,26.60411899313501,29.070628645968053,1.237,0.25,0.3639246869229999,5,Communication Services
AMZN,31.84731,31.62907608695652,28.55584553624614,1.444,0.0,0.24285,5,Consumer Discretionary
AXP,21.087078,21.10299625468165,26.163517231374296,1.058,1.12,0.2709119455581,5,Financials
APH,45.68768,47.48137535816619,26.00220097908059,1.275,0.6,0.280422375,5,Information Technology
AON,17.743689,17.213501646542262,24.958057556005972,0.714,1.05,0.3884827033553,5,Financials
ADSK,27.531387,27.404379562043797,24.407632184699153,1.295,0.0,0.50396,5,Information Technology
CAT,49.071854,51.01197604790419,26.83903911598559,1.603,0.64,0.361472902,5,Industrials
CDW,15.863582,15.051157125456758,23.5349916996166,0.987,2.04,0.3065820509999999,5,Information Technology
CHTR,3.5240803,3.3966450216450217,23.73916133159835,0.707,0.0,0.27504998,5,Communication Services
CMG,28.568806,28.018348623853207,24.41075270586353,0.978,0.0,0.49231997,5,Consumer Discretionary
CTAS,35.68144,35.74894514767932,24.93798498467166,0.934,1.06,0.261406705987,5,Industrials
FIX,56.015263,59.519297235023046,24.94904118920477,1.67,0.13,0.4982989,5,Industrials
CPAY,20.459282,20.78862275449102,23.82929573821862,0.869,0.0,0.32124,5,Financials
DECK,14.754986,15.038461538461538,23.389472010319196,1.146,0.0,0.40859002,5,Consumer Discretionary
DXCM,29.721031,29.64377682403433,24.00874195364151,1.443,0.0,0.35624,5,Health Care
DLTR,18.348314,18.287319422150883,23.812828866314707,0.659,0.0,0.33976,5,Consumer Staples
EBAY,25.001154,24.23556581986143,24.595824688238324,1.372,1.18,0.311915625,5,Consumer Discretionary
EME,28.285236,29.157046979865772,24.348579676762064,1.124,0.15,0.37714760678458,5,Industrials
EXPD,26.250809,26.399676375404532,23.778127243242047,1.047,0.99,0.275247192,5,Industrials
GE,44.116623,44.05955334987593,26.64086989152737,1.375,0.53,0.36683111615,5,Industrials
GEN,14.773885,14.656050955414011,23.360425137872863,1.205,2.17,0.2717617345549999,5,Information Technology
HD,23.17507,23.197443181818183,26.508210866991032,0.974,2.85,0.44226903581,5,Consumer Discretionary
HWM,63.75231,64.89814814814815,25.42550471615647,1.193,0.17,0.302096194,5,Industrials
ITW,24.456823,24.634168987929435,25.051102590383145,1.03,2.43,0.399304304,5,Industrials
INCY,14.710452,14.641242937853107,23.758570269581636,0.79,0.0,0.30823,5,Health Care
PODD,33.573597,32.469626168224295,23.021138557734872,1.125,0.0,0.22997999,5,Health Care
IQV,21.192547,20.845962732919254,24.072227067520423,1.215,0.0,0.22490999,5,Health Care
LULU,8.633199,8.536842105263158,23.217059514527396,0.861,0.0,0.32027,5,Consumer Discretionary
META,20.457848,20.48873546511628,27.98808857868729,1.229,0.37,0.304141498472,5,Communication Services
MSFT,22.222155,21.878499106611077,28.65045431002107,1.103,0.99,0.2696289734743999,5,Information Technology
MCO,31.860672,32.04369627507163,25.076014362652707,1.339,0.92,0.5165109179999999,5,Financials
NFLX,23.524195,23.509677419354837,26.450349712066988,1.491,0.0,0.48494998,5,Communication Services
NVR,15.624616,15.503856103870747,23.57287047289087,0.924,0.0,0.33257,5,Consumer Discretionary
ORCL,29.046312,30.029159519725557,26.91159081468656,1.655,1.14,0.350626944,5,Information Technology
PYPL,7.8630395,7.943714821763603,24.33334669449288,1.336,1.32,0.23801201895,5,Financials
PTC,10.861192,11.047070124879925,23.292794144841253,0.966,0.0,0.344,5,Information Technology
RL,26.699736,27.17724867724868,23.90243358532391,1.371,0.91,0.2628917946344002,5,Consumer Discretionary
ROST,32.43401,33.0963687150838,25.033986966914522,0.866,0.75,0.299459708636,5,Consumer Discretionary
SHW,31.400383,30.5004812319538,25.111086546303458,1.126,1.01,0.422328465,5,Materials
SPG,15.066411,14.921418636995826,25.133934348760103,1.346,4.1,0.452656115923,5,Real Estate
SOLV,8.961444,9.003671970624236,23.26321187361432,0.746,0.0,0.34794998,5,Health Care
TPR,45.295734,45.48780487804878,24.125055904802068,1.446,1.07,0.3212604692788007,5,Consumer Discretionary
TRGP,27.143925,27.01838610827375,24.76700559753998,0.71,1.61,0.4382155542579999,5,Energy
TJX,32.070038,31.939688715953302,25.927818858799135,0.619,1.17,0.40994625,5,Consumer Discretionary
TT,36.55887,37.58333333333333,25.383932417380624,1.212,0.85,0.258021734088,5,Industrials
UBER,17.411835,17.72456575682382,25.68497252477857,1.12,0.0,0.3531,5,Industrials
ULTA,17.23698,17.42450355938554,23.707808132369948,0.86,0.0,0.47449002,5,Consumer Discretionary
UAL,10.781753,10.615384615384617,24.389992628304643,1.291,0.0,0.25726998,5,Industrials
VLTO,21.731958,21.378865979381445,23.753830822751482,0.848,0.63,0.319525269,5,Industrials
V,28.80803,28.49912739965096,27.16555389479714,0.765,0.82,0.4709032469999999,5,Financials
VST,27.420702,27.923205342237058,24.737524455004735,1.405,0.55,0.36398953,5,Utilities
GWW,35.65447,36.09849300322929,24.85928975711968,1.052,0.69,0.3491504056129,5,Industrials
WSM,25.171331,25.314669652855542,23.999167618171345,1.512,1.34,0.3741605068014,5,Consumer Discretionary
ZTS,12.530328,12.440983606557378,24.190366440118837,0.741,2.79,0.452014656,5,Health Care
