Ticker,PE Ratio (TTM),PE Ratio (Current),Market Cap (log),Beta,Dividend Yield,EPS Growth (ROE x Retention),Cluster,Sector,Payout Ratio,Predicted PE (Cluster),PE Difference (Cluster),Valuation Signal (Cluster),Cluster R²,Cluster Adj R²,Cluster F p-value,Cluster Residual SE
ACN,13.912223,13.968826907301066,25.37122385067066,1.069,3.83,0.1213882259999999,0,Information Technology,31.551659713685932,10.05,3.92,Fairly Valued,0.4456,0.3937,0.0003,4.7901
AES,7.648438,7.645833333333333,23.072039752409676,0.946,4.79,0.0333168425336,0,Utilities,143.77112702589662,18.44,-10.79,Undervalued,0.4456,0.3937,0.0003,4.7901
AMT,29.841938,30.19032258064516,25.179930603557334,0.891,3.73,0.053134848,0,Real Estate,70.19875167423082,15.39,14.8,Overvalued,0.4456,0.3937,0.0003,4.7901
T,7.690789,7.75657894736842,25.81364939852371,0.395,4.71,0.116631136349,0,Communication Services,40.383727257068635,10.47,-2.71,Fairly Valued,0.4456,0.3937,0.0003,4.7901
AVB,23.080645,23.20471464019851,23.996344172358143,0.789,3.81,0.012527791,0,Real Estate,304.1238475322585,19.13,4.07,Fairly Valued,0.4456,0.3937,0.0003,4.7901
BBY,14.39074,14.542592592592593,23.519248346228693,1.33,4.89,0.1151221916416,0,Consumer Discretionary,42.47660620659148,10.65,3.89,Fairly Valued,0.4456,0.3937,0.0003,4.7901
BMY,15.838935,16.00280112044818,25.47226722925674,0.238,4.41,0.1160797980059999,0,Health Care,37.99110677098229,9.27,6.73,Overvalued,0.4456,0.3937,0.0003,4.7901
CPB,10.990196,11.181372549019606,22.62324932768331,0.01,6.84,0.0362103169999999,0,Consumer Staples,188.89644075747856,17.6,-6.42,Undervalued,0.4456,0.3937,0.0003,4.7901
CMCSA,4.761765,4.803921568627452,25.186314329062505,0.658,5.39,0.155044216,0,Communication Services,34.76427653386308,7.69,-2.89,Fairly Valued,0.4456,0.3937,0.0003,4.7901
D,20.057522,20.03244837758112,24.814312568363945,0.642,3.93,0.0207875840852,0,Utilities,189.0551583047121,18.45,1.58,Fairly Valued,0.4456,0.3937,0.0003,4.7901
EIX,7.8152175,7.929347826086958,24.0434948531349,0.661,4.81,0.118711152,0,Utilities,40.51851842866456,10.47,-2.54,Fairly Valued,0.4456,0.3937,0.0003,4.7901
ES,14.832975,14.708779443254818,23.983324362856447,0.727,4.59,0.037973765456,0,Utilities,120.87292226309262,17.26,-2.55,Fairly Valued,0.4456,0.3937,0.0003,4.7901
FRT,21.568338,21.771626297577853,23.10611044217173,0.94,3.59,0.032788694,0,Real Estate,109.48895982255347,17.5,4.27,Fairly Valued,0.4456,0.3937,0.0003,4.7901
FIS,7.660853,7.596899224806202,23.740379512835936,0.802,4.29,0.117508946555,0,Financials,36.50785855689778,10.74,-3.14,Fairly Valued,0.4456,0.3937,0.0003,4.7901
FE,25.673914,25.559782608695652,24.03107115707864,0.458,3.95,0.0030842909261002,0,Utilities,1280.6833384535514,19.85,5.71,Overvalued,0.4456,0.3937,0.0003,4.7901
BEN,24.843512,24.52671755725191,23.55126504629188,1.593,4.11,0.000509504,0,Financials,8066.668760206005,39.96,-15.43,Undervalued,0.4456,0.3937,0.0003,4.7901
GIS,8.40709,8.43765281173594,23.63292956977367,-0.041,7.07,0.095755869,0,Consumer Staples,73.83359447137387,12.23,-3.79,Fairly Valued,0.4456,0.3937,0.0003,4.7901
HST,16.894556,16.931972789115648,23.569899589930575,1.127,3.21,0.06777746,0,Real Estate,47.36087779034505,14.84,2.09,Fairly Valued,0.4456,0.3937,0.0003,4.7901
HBAN,13.384616,13.476923076923075,24.28635736075403,0.969,3.54,0.0438671650616999,0,Financials,80.69817128644924,17.07,-3.59,Fairly Valued,0.4456,0.3937,0.0003,4.7901
KVUE,21.778095,21.5952380952381,24.282146842917165,0.504,4.58,0.0023394442896999,0,Consumer Staples,1957.7298848982273,20.82,0.78,Fairly Valued,0.4456,0.3937,0.0003,4.7901
KEY,13.926381,13.92638036809816,23.92200711086827,1.041,3.61,0.0495757090092,0,Financials,72.81791974634342,16.62,-2.69,Fairly Valued,0.4456,0.3937,0.0003,4.7901
KMB,20.014505,19.785299806576404,24.25979589354958,0.302,5.01,0.0237978063092,0,Consumer Staples,210.5236060377205,17.81,1.98,Fairly Valued,0.4456,0.3937,0.0003,4.7901
KMI,21.110739,21.436241610738257,24.97150242703395,0.539,3.68,0.0227623623581999,0,Energy,161.6703900100386,18.05,3.39,Fairly Valued,0.4456,0.3937,0.0003,4.7901
MKC,7.8180327,8.024590163934427,23.27436060653566,0.641,3.92,0.1774289999999999,0,Consumer Staples,22.093344380005536,4.54,3.48,Fairly Valued,0.4456,0.3937,0.0003,4.7901
MDT,21.565683,21.501340482573728,25.360668029716727,0.597,3.59,0.023690594,0,Health Care,151.53693486959423,18.03,3.47,Fairly Valued,0.4456,0.3937,0.0003,4.7901
OKE,15.784314,16.14795008912656,24.744849872115584,0.714,4.72,0.0411092549999999,0,Energy,114.81599459781043,16.9,-0.75,Fairly Valued,0.4456,0.3937,0.0003,4.7901
PEP,22.762539,22.61285266457681,26.014125462909067,0.359,4.1,0.046862774136,0,Consumer Staples,87.48948553710093,15.62,6.99,Overvalued,0.4456,0.3937,0.0003,4.7901
PGR,10.4033575,10.33112919633774,25.50526971262744,0.27,6.84,0.1110558051612,0,Financials,61.59065696810343,10.6,-0.27,Fairly Valued,0.4456,0.3937,0.0003,4.7901
PRU,11.248198,11.1740473738414,24.359136052861892,0.855,5.16,0.0469891527155999,0,Financials,109.81257804818718,16.74,-5.57,Undervalued,0.4456,0.3937,0.0003,4.7901
RF,12.070539,12.145228215767634,23.935109372004288,1.027,3.62,0.06737328,0,Financials,53.73049968771003,15.09,-2.94,Fairly Valued,0.4456,0.3937,0.0003,4.7901
TROW,11.873391,11.763948497854075,23.889194139989105,1.519,4.74,0.084418208483,0,Financials,56.149023832394334,14.46,-2.7,Fairly Valued,0.4456,0.3937,0.0003,4.7901
TGT,17.840158,17.86393659180977,24.839673693283093,0.991,3.43,0.0881260383955,0,Consumer Staples,38.92152719502193,12.89,4.97,Overvalued,0.4456,0.3937,0.0003,4.7901
TFC,12.310891,12.787128712871286,24.849836417147937,0.884,4.03,0.0416167338509999,0,Financials,96.83604711577273,17.2,-4.41,Fairly Valued,0.4456,0.3937,0.0003,4.7901
USB,12.24109,12.356394129979035,25.233641228760185,0.999,3.5,0.0701603522724,0,Financials,49.88572443894137,14.79,-2.43,Fairly Valued,0.4456,0.3937,0.0003,4.7901
VZ,11.554878,11.734146341463417,26.0106087358738,0.22,5.88,0.0559966828405999,0,Communication Services,105.00622004231933,15.46,-3.73,Fairly Valued,0.4456,0.3937,0.0003,4.7901
VICI,9.650684,9.767123287671232,24.1358536230809,0.676,6.31,0.0441455759999999,0,Real Estate,142.93618006026276,16.86,-7.09,Undervalued,0.4456,0.3937,0.0003,4.7901
