Ticker,Market Cap,PE Ratio (TTM),PE Ratio (Current),Dividend Yield,Beta,Payout Ratio,Return on Equity (ROE),Retention Ratio,EPS Growth (ROE x Retention),Sector
MMM,77995163648,28.8131,29.38921001926782,2.05,1.09,0.5723,0.71458,0.42769999999999997,0.30562586599999997,Industrials
AOS,7721159680,14.938666,15.120000000000001,2.5,1.217,0.37330002,0.28267,0.6266999799999999,0.17714928334659996,Industrials
ABT,154246266880,24.805323,24.62464985994398,2.87,0.647,0.67230004,0.123339996,0.32769996,0.040418511755600156,Health Care
ABBV,378906411008,105.645325,103.1576354679803,3.3,0.305,3.2598002,,-2.2598002,,Health Care
ACN,109119725568,14.533196,14.553278688524593,3.67,1.071,0.5098,0.24763,0.49019999999999997,0.12138822599999999,Information Technology
ADBE,102723387392,14.818659,14.906122448979593,0.0,1.417,0.0,0.58774,1.0,0.58774,Information Technology
AMD,690037391360,141.53174,140.79933110367892,0.0,2.399,0.0,0.08063,1.0,0.08063,Information Technology
AES,10394273792,7.591146,7.567708333333333,4.84,0.957,0.3666,0.052600004,0.6334,0.0333168425336,Utilities
AFL,60531032064,13.591429,13.562285714285714,2.06,0.619,0.26860002,0.16469,0.73139998,0.1204542627062,Financials
A,31563851776,24.655628,24.748344370860927,0.91,1.219,0.22049999,0.19945998,0.77950001,0.1554790564045998,Health Care
APD,65149689856,30.796843,30.874736842105264,2.47,0.776,0.7566,0.12353,0.24339999999999995,0.030067201999999994,Materials
ABNB,77627473920,32.21552,33.07881773399016,0.0,1.208,0.0,0.32325,1.0,0.32325,Consumer Discretionary
AKAM,21384019968,49.69088,50.935810810810814,0.0,0.454,0.0,0.091680005,1.0,0.091680005,Information Technology
ALB,20032378880,,,0.92,1.365,0.5797,-0.0182,0.4203,-0.00764946,Materials
ARE,8028594688,,,8.74,1.137,6.8946996,-0.04144,-5.8946996,0.24427635142399998,Real Estate
ALGN,11075026944,25.989916,26.685714285714287,0.0,1.695,0.0,0.10824,1.0,0.10824,Health Care
ALLE,10892370944,17.315573,17.55054644808743,1.65,0.903,0.2842,0.34179002,0.7158,0.24465329631600002,Industrials
LNT,18784489472,22.871069,22.669811320754718,2.89,0.566,0.64699996,0.113120005,0.35300003999999996,0.039931366289800194,Utilities
ALL,57973768192,4.983625,4.895109537508299,1.95,0.207,0.090299994,0.45221,0.909700006,0.41137543971326,Financials
GOOGL,4744650162176,29.894655,30.300763358778628,0.22,1.267,0.0641,0.38884997,0.9359,0.36392468692299995,Communication Services
GOOG,4701276864512,29.644003,30.031321619556916,0.22,1.267,0.0641,0.38884997,0.9359,0.36392468692299995,Communication Services
MO,123404959744,15.427976,15.390396659707724,5.75,0.519,0.8768,,0.12319999999999998,,Consumer Staples
AMZN,2793029763072,31.020906,31.64396654719236,0.0,1.468,0.0,0.24285,1.0,0.24285,Consumer Discretionary
AMCR,17009698816,29.669355,30.233870967741936,6.94,0.633,2.0683,0.08737001,-1.0682999999999998,-0.09333738168299999,Materials
AEE,30067679232,19.540466,19.31294964028777,2.79,0.511,0.518,0.117469996,0.482,0.056620538071999994,Utilities
AEP,69751595008,18.991867,18.915555555555557,2.98,0.552,0.55619997,0.12585,0.44380003,0.0558522337755,Utilities
AXP,211712262144,19.36829,19.49063670411985,1.22,1.084,0.21290001,0.34419,0.78709999,0.2709119455581,Financials
AIG,41393197056,13.744719,13.795774647887324,2.55,0.541,0.3169,0.07723,0.6831,0.052755813,Financials
AMT,85330640896,29.54113,28.593548387096774,3.89,0.9,0.8226,0.29952,0.1774,0.053134848000000005,Real Estate
AWK,24233336832,22.00266,22.132978723404257,2.87,0.634,0.5869,0.10217,0.4131,0.042206427,Utilities
AMP,42248933376,11.708271,11.738415545590433,1.44,1.201,0.1595,0.66936,0.8405,0.56259708,Financials
AME,50940366848,33.6233,34.13918305597579,0.6,1.033,0.1918,0.14626999,0.8082,0.11821540591799999,Industrials
AMGN,179023544320,23.070639,22.5741127348643,3.11,0.435,0.6722,1.01318,0.3278,0.332120404,Health Care
APH,147449757696,34.441093,34.97701149425287,0.82,1.297,0.2385,0.36825,0.7615000000000001,0.28042237500000006,Information Technology
ADI,204996919296,76.624084,76.38321167883211,0.97,1.194,0.7239,0.07862,0.2761,0.021706982,Information Technology
AON,69589770240,17.883095,17.92371020856202,1.0,0.714,0.16360001,0.46447,0.83639999,0.3884827033553,Financials
APA,14336753664,9.454546,9.358974358974358,2.49,0.374,0.2331,0.26217,0.7669,0.201058173,Energy
APO,75993653248,82.38438,83.4425,1.68,1.519,1.283,0.08492,-0.2829999999999999,-0.024032359999999992,Financials
AAPL,4381825826816,36.162422,36.10181818181818,0.36,1.065,0.1259,1.4147099,0.8741,,Information Technology
AMAT,325213388800,38.55033,38.905926622765755,0.51,1.654,0.1731,0.39692003,0.8269,0.32821317280699996,Information Technology
APP,160382566400,41.442272,42.74131944444444,0.0,2.366,0.0,2.66444,1.0,,Information Technology
APTV,11237049344,31.607143,31.553571428571427,0.0,1.308,0.0,0.040799998,1.0,0.040799998,Consumer Discretionary
ACGL,33733566464,7.4269233,7.374615384615385,0.0,0.33,0.0,0.21305999,1.0,0.21305999,Financials
ADM,38197460992,35.381695,36.12053571428571,2.57,0.578,0.9152,0.047659997,0.08479999999999999,0.0040415677455999995,Consumer Staples
ARES,40188510208,56.407402,57.26851851851852,4.37,1.521,2.1705,0.14182,-1.1705,-0.16600031,Financials
ANET,177165139968,48.350513,48.697594501718214,0.0,1.673,0.0,0.31520998,1.0,0.31520998,Information Technology
AJG,53086785536,33.486225,33.573743922204216,1.35,0.545,0.42880002,0.07007,0.57119998,0.0400239825986,Financials
AIZ,12839775232,13.275615,13.225922131147541,1.3,0.556,0.1722,0.18016,0.8278,0.14913644799999998,Financials
T,172492505088,8.166119,8.036184210526315,4.54,0.417,0.3651,0.18370001,0.6349,0.116631136349,Communication Services
ATO,29815218176,21.997536,21.98522167487685,2.24,0.648,0.46060002,0.096,0.53939998,0.05178239808,Utilities
ADSK,51663015936,46.694656,46.467557251908396,0.0,1.322,0.0,0.39675,1.0,0.39675,Information Technology
ADP,88693039104,20.697762,20.796641791044774,3.05,0.841,0.6045,0.71208,0.39549999999999996,0.28162764,Industrials
AZO,55521255424,23.482235,23.584472006166347,0.0,0.436,0.0,,1.0,,Consumer Discretionary
AVB,25735731200,22.89604,22.926980198019802,3.84,0.798,0.8711,0.09719,0.12890000000000001,0.012527791000000002,Real Estate
AVY,11861745664,17.4634,17.66216216216216,2.55,0.847,0.4234,0.30857,0.5766,0.177921462,Materials
AXON,31437230080,157.27016,161.03629032258064,0.0,1.435,0.0,0.06765,1.0,0.06765,Industrials
BKR,65590620160,21.123001,21.151757188498404,1.39,0.97,0.29389998,0.17184,0.70610002,0.1213362274368,Energy
BALL,14707458048,16.104956,16.26822157434402,1.43,1.065,0.2332,0.16785999,0.7668,0.12871504033199999,Materials
BAC,361997074432,12.657567,12.578163771712157,2.21,1.221,0.273,0.10644,0.727,0.07738188,Financials
BAX,9435888640,,,1.12,0.621,3.0769,-0.15010999,-2.0769,0.311763438231,Health Care
BDX,40476884992,25.592335,24.79965156794425,2.95,0.285,0.7295,0.06672,0.27049999999999996,0.01804776,Health Care
BRK-B,1047087808512,14.448513,14.535119047619046,0.0,0.622,0.0,0.10499,1.0,0.10499,Financials
BBY,12475261952,11.748015,11.484126984126984,6.63,1.247,0.754,0.37041,0.246,0.09112086,Consumer Discretionary
TECH,7181026304,65.52143,63.471428571428575,0.72,1.405,0.4571,0.053400002,0.5428999999999999,0.0289908610858,Health Care
BIIB,28275462144,20.571428,20.61331901181525,0.0,0.195,0.0,0.077010006,1.0,0.077010006,Health Care
BLK,161879556096,26.240816,27.324609964771014,2.11,1.456,0.5376,0.118990004,0.46240000000000003,0.0550209778496,Financials
BX,140877922304,29.553846,30.010256410256414,4.25,1.634,1.2154,0.29533002,-0.21540000000000004,-0.06361408630800001,Financials
XYZ,41299607552,54.210938,55.17968749999999,0.0,2.57,0.0,0.03743,1.0,0.03743,Financials
BK,94308474880,17.047144,16.945409429280396,1.55,1.068,0.2556,0.13472,0.7444,0.10028556799999999,Financials
BA,172732809216,86.267715,86.85433070866142,0.0,1.207,0.0,1.69947,1.0,,Industrials
BKNG,120067416064,20.441952,20.457783641160947,1.04,1.102,0.20729999,,0.79270001,,Consumer Discretionary
BSX,84142571520,23.686192,23.397489539748953,0.0,0.623,0.0,0.14661,1.0,0.14661,Health Care
BMY,118644342784,16.27451,16.053221288515406,4.4,0.259,0.7003,0.38731998,0.29969999999999997,0.11607979800599999,Health Care
AVGO,1961715040256,80.766075,82.00974658869396,0.62,1.44,0.47169998,0.33370999,0.52830002,0.1762989943911998,Information Technology
BR,17213423616,15.917646,16.10909090909091,2.59,0.901,0.407,0.42314,0.593,0.25092202,Industrials
BRO,19750490112,18.980457,19.11726384364821,1.1,0.657,0.2052,0.11926,0.7948,0.094787848,Financials
BF-B,11834553344,14.999999,15.261627906976745,3.49,0.346,0.5294,0.20417,0.4706,0.096082402,Consumer Staples
BLDR,7213502976,25.59733,26.786259541984734,0.0,1.485,0.0,0.06958,1.0,0.06958,Industrials
BG,23677970432,32.11579,32.800000000000004,2.25,0.627,0.7368,0.04933,0.2632,0.012983656,Consumer Staples
BXP,10475796480,29.522614,30.110552763819097,5.14,1.059,1.5477,0.05525,-0.5477000000000001,-0.030260425000000004,Real Estate
CHRW,20436828160,35.168358,34.42596348884381,1.49,0.943,0.5061,0.34838,0.4939,0.172064882,Industrials
CDNS,94359404544,79.74592,80.65034965034965,0.0,1.131,0.0,0.20656,1.0,0.20656,Information Technology
CPT,10371812352,29.23743,29.22067039106145,4.05,0.822,1.176,0.09064999,-0.17599999999999993,-0.015954398239999994,Real Estate
CPB,6035976192,11.002718,11.054347826086955,7.67,-0.005,0.8478,0.13891,0.1522,0.021142102,Consumer Staples
COF,113960484864,56.174847,57.16871165644172,1.71,1.05,0.86120003,0.03259,0.13879997,0.0045234910223,Financials
